Date;Hour;A/A [kWh];Alumbrado [kWh];General [kWh];Punto Caliente [kWh];Refrigeracion [kWh]
01/01/2017;0:00;0.00;0.41;3.82;0.10;1.78
01/01/2017;0:15;0.00;0.29;3.68;0.00;1.81
01/01/2017;0:30;0.00;0.50;3.32;0.00;1.60
01/01/2017;0:45;0.00;0.41;3.50;0.00;1.59
01/01/2017;1:00;0.00;0.09;3.37;0.00;1.72
01/01/2017;1:15;0.00;0.00;3.31;0.00;1.78
01/01/2017;1:30;0.00;0.00;3.50;0.00;2.00
01/01/2017;1:45;0.00;0.00;3.32;0.00;1.81
01/01/2017;2:00;0.00;0.00;3.06;0.00;1.60
01/01/2017;2:15;0.00;0.00;3.00;0.00;1.59
01/01/2017;2:30;0.00;0.00;2.94;0.00;1.50
01/01/2017;2:45;0.00;0.00;3.37;0.00;1.81
01/01/2017;3:00;0.00;0.00;3.63;0.00;2.19
01/01/2017;3:15;0.00;0.00;3.50;0.00;1.91
01/01/2017;3:30;0.00;0.00;3.18;0.00;2.00
01/01/2017;3:45;0.00;0.00;3.19;0.00;1.59
01/01/2017;4:00;0.00;0.00;3.00;0.10;1.72
01/01/2017;4:15;0.00;0.00;3.19;0.00;1.69
01/01/2017;4:30;0.00;0.00;2.81;0.00;1.59
01/01/2017;4:45;0.00;0.00;3.13;0.00;1.50
01/01/2017;5:00;0.00;0.00;3.06;0.00;1.81
01/01/2017;5:15;0.00;0.00;2.94;0.00;1.50
01/01/2017;5:30;0.00;0.00;2.68;0.00;1.50
01/01/2017;5:45;0.00;0.00;3.32;0.00;1.69
01/01/2017;6:00;0.00;0.00;3.18;0.00;1.72
01/01/2017;6:15;0.00;0.00;3.00;0.00;1.59
01/01/2017;6:30;0.00;0.00;3.00;0.00;1.50
01/01/2017;6:45;0.00;0.00;3.19;0.00;1.69
01/01/2017;7:00;0.00;0.00;3.19;0.00;1.81
01/01/2017;7:15;0.00;0.00;2.94;0.00;1.60
01/01/2017;7:30;0.00;0.00;3.00;0.00;1.59
01/01/2017;7:45;0.00;0.00;3.00;0.00;1.72
01/01/2017;8:00;0.00;0.00;3.06;0.00;1.78
01/01/2017;8:15;0.00;0.00;3.00;0.00;1.41
01/01/2017;8:30;0.00;0.00;2.44;0.00;1.09
01/01/2017;8:45;0.00;0.00;2.50;0.00;1.00
01/01/2017;9:00;0.00;0.00;2.68;0.00;1.41
01/01/2017;9:15;0.00;0.00;3.69;0.00;2.09
01/01/2017;9:30;0.00;0.00;3.50;0.20;2.00
01/01/2017;9:45;0.00;0.00;3.19;0.00;1.81
01/01/2017;10:00;0.00;0.00;3.00;0.00;1.69
01/01/2017;10:15;0.00;0.00;2.62;0.00;1.50
01/01/2017;10:30;0.00;0.00;3.00;0.00;1.50
01/01/2017;10:45;0.00;0.00;2.82;0.00;1.72
01/01/2017;11:00;0.00;0.00;3.06;0.00;1.59
01/01/2017;11:15;0.00;0.00;3.00;0.00;1.60
01/01/2017;11:30;0.00;0.00;2.81;0.10;1.50
01/01/2017;11:45;0.00;0.00;3.13;0.00;1.59
01/01/2017;12:00;0.00;0.00;3.18;0.00;1.91
01/01/2017;12:15;0.00;0.00;3.19;0.00;1.59
